Название,Цена,Операционная система,Диагональ экрана,Разрешение экрана,Производитель процессора,Модель процессора,Тактовая частота,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Цвет
Ноутбук-трансформер Lenovo Flex 3 11ADA05 (82G4002KRU),26999,Windows 10 Домашняя x64,"11.6""",1920x1080 Пикс,AMD,Athlon Silver 3050E,1.4 ГГц,4 ГБ,DDR4,eMMC,64 ГБ,AMD,Radeon Graphics,,Синий
Ноутбук Acer Aspire 3 A314-22-R632 (NX.HVVER.015),39999,Без ОС,"14""",1920x1080 Пикс,AMD,Ryzen 3 3250U,2.6 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon Graphics,,Черный
Ноутбук HP 15s-eq1349ur (491L4EA),48999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 3 4300U,2.7 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon Graphics,,Серый
Ноутбук HP 15s-eq2122ur (601F9EA),47999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon,,Черный
Ноутбук ASUS R522MA-EJ891W (90NB0Q64-M003P0),39999,Windows 11 Домашняя,"15.6""",1920x1080 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,DDR4,eMMC,128 ГБ,Intel,HD Graphics 600,,Синий
Ноутбук ASUS R565JF-BR367 (90NB0SW2-M000A0),39999,Без ОС,"15.6""",1366x768 Пикс,Intel,Pentium 6805,1.1 ГГц,4 ГБ,DDR4,SSD,256 ГБ,NVIDIA,GeForce MX130,2 ГБ,Серый
Ноутбук Lenovo IdeaPad 3 15IGL05 (81WQ00J9RU),44999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Celeron N4020,1.1 ГГц,8 ГБ,DDR4,SSD,256 ГБ,Intel,UHD Graphics 600,,Серый
Игровой ноутбук Acer Aspire 7 A715-75G-51PD (NH.Q99ER.00R),74999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i5-10300H,2.5 ГГц,8 ГБ,DDR4,SSD,512 ГБ,NVIDIA,GeForce GTX 1650,4 ГБ,Черный
Ноутбук Honor MagicBook 16 R5/16/512 Space Grey (HYM-W56),89999,Windows 11 Домашняя x64,"16.1""",1920x1080 Пикс,AMD,Ryzen 5 5600H,3.3 ГГц,16 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon Graphics,,Серый
Ноутбук ASUS R214MA-GJ057T,21999,Windows 10 Домашняя,"11.6""",1366x768 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,DDR4,eMMC,64 ГБ,Intel,Intel UHD Graphics 600,,Синий
Ноутбук Honor MagicBook X 15 i3/8/256 Space Gray (BBR-WAI9),52999,Windows 10 Домашняя x64,"15.6""",1920x1280 Пикс,Intel,Core i3-10110U,2.1 ГГц,8 ГБ,DDR4,SSD,256 ГБ,Intel,Intel UHD Graphics,,Серый
Ноутбук HP 250 G7 (2V0F0ES),29999,Windows 10 Домашняя,"15.6""",1366x768 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,DDR4,SSD,256 ГБ,Intel,UHD Graphics 600,,Серый
Ноутбук ASUS F409FA-EK575T,25999,Windows 10 Домашняя,"14""",1920x1080 Пикс,Intel,Pentium Gold 5405U,2.3 ГГц,4 ГБ,DDR4,SSD,128 ГБ,Intel,Intel HD Graphics 520,,Серебристый
Ноутбук HP 15s-eq1315ur (3B4S7EA),34999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Athlon Gold 3150U,2.4 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon,,Серый
Ноутбук ASUS R565MA-BR391T,34999,Windows 10 Домашняя,"15.6""",1366x768 Пикс,Intel,Pentium Silver N5030,1.1 ГГц,,,SSD,256 ГБ,Intel,Intel UHD Graphics 605,,Серебристый
Ноутбук Irbis NB64,13999,Windows 10,"13.3""",1920x1080 Пикс,Intel,Atom x5-Z8350,1.44 ГГц,2 ГБ,LPDDR3,eMMC,32 ГБ,Intel,Intel HD Graphics,,Черный
